CSsig	SBSsig	Spearman	pVal	pAdj
CX17	ID20	-0.02632	0.2518	0.30885
CX17	ID21	-0.03062	0.1825	0.278552631578947
CX17	ID22	-0.02386	0.2989	0.321362962962963
CX17	ID23	-0.02399	0.2963	0.321362962962963
CX17	ID24	-0.0327	0.1544	0.252138888888889
CX17	ID25	-0.02611	0.2556	0.30885
CX17	ID26	-0.02614	0.255	0.30885
CX17	ID27	-0.02631	0.2519	0.30885
CX17	ID28	-0.03254	0.1565	0.252138888888889
CX17	ID29	-0.05065	0.02736	0.079344
CX17	ID30	-0.02629	0.2522	0.30885
CX17	ID31	-0.0371	0.1062	0.219985714285714
CX17	ID32	-0.04896	0.03294	0.0868418181818182
