CX1	CX2	CX3	CX4	CX5	CX6	CX7	CX8	CX9	CX10	CX11	CX12	CX13	CX14	CX15	CX16	CX17
TCGA-06-0237	4.993	17.28	8.104	0	0	2.939	5.276	0	0	0.809	0	0.2904	0.7601	0	0	0	0
TCGA-06-0238	4.864	0.79	12.19	27.75	0	3.843	0	0	0	4.527	0.4464	0	2.172	6.789	0	0	0
TCGA-06-0241	5.081	25.74	2.306	8.164	4.289	0	0	0	0	0	0	0.4884	0.7828	0	0	2.669	0
TCGA-06-0644	5.44	1.164	0	27.99	0.9137	4.906	0	0	0	0	0	0	0	5.969	0	0	0
TCGA-06-0645	5.075	16.89	5.371	0	1.271	2.115	5.461	0.9298	4.933	0	0.5545	0	0.4062	0	2.3	0	0
TCGA-06-0646	5.418	15.47	0	1.459	0.9507	0.2466	1.851	0	4.78	0	2.406	0	1.345	0	0	0	0
TCGA-06-0648	5.112	5.99	4.954	40.26	3.537	4.951	3.456	0	2.194	0	7.248	0.3383	13.85	2.045	0	0	0
TCGA-06-0649	3.563	32.86	34.6	0	0	2.715	10.48	0	0	0	0	0	0	0	0	0	0
TCGA-06-0686	5.41	7.995	0	21.6	3.614	6.945	2.179	0	5.486	0	9.301	0	33.88	0	0	0	0
TCGA-06-0743	4.865	17.75	8.047	0	3.41	5.062	17.66	0	1.947	0	1.078	0.1959	1.311	0	3.971	1.06	0
TCGA-06-0744	4.836	38.17	6.871	0	2.567	0.948	4.272	2.082	0	0	3.643	0	8.586	0	0	1.124	0
TCGA-06-0745	4.879	32.34	6.195	1.181	2.994	0.6256	9.113	0	0	0	1.201	1.13	1.701	0	4.221	0	0
TCGA-06-0747	5.245	14.46	3.047	0	0.2257	0	0	0	3.255	0	0.5412	0.2532	0	0	2.378	0	0
TCGA-06-0749	5.361	16.75	0	0	0	0.2744	0	0	0	1.201	0.6716	0.0802	0	0	0	0	0
TCGA-06-0750	5.444	13.06	0	0.7034	0.3172	0.5419	0	0	1.569	0	1.305	0	2.416	0	0	0	0
TCGA-06-0875	4.614	16.22	12.71	29.59	5.225	5.128	6.63	0	0	0	0	0.3532	2.783	0	0	0	0
TCGA-06-0876	5.343	20.1	0	0	2.359	0	7.405	0	0	0.7118	0.3785	0	1.737	16.57	0	0	0
TCGA-06-0877	5.287	23.87	0	0	0.6795	1.226	0.9217	0	0	1.899	0	0	1.745	0	4.136	0	0
TCGA-06-0878	4.956	31.06	6.243	0	2.041	0.6656	2.1	0	0	0	0	0.1618	2.574	0	0	0	0
TCGA-06-0879	5.364	10.34	0	3.464	1.288	0.1505	0	0	0	0	0	0.2846	0	6.904	5.405	0	0
TCGA-06-0882	4.803	25.66	9.107	3.771	3.794	0	12.4	0	0.9843	0	3.348	0	0	1.558	0	0	0
TCGA-06-0939	5.487	6.72	0	0	0.4113	0.2863	3.132	0	0	0	0.577	0	0.8417	1.546	0	0	0
TCGA-06-1084	5.049	14.69	7.288	5.22	0	1.235	1.478	0	2.929	0	1.243	0	0	0	1.958	0	0
TCGA-06-1086	5.138	14.36	5.748	3.238	2.82	5.605	11.13	0	1.843	0	0	0.8245	0	0.9295	0	0	0
TCGA-06-1087	3.467	52.94	28.59	43.57	5.686	3.034	8.427	0	0	10.74	3.529	0.5093	8.555	0	0	5.281	0
TCGA-06-1800	5.481	0	0	23.14	0.7454	5.242	0	0	0	0	0.3672	0.7569	0	2.98	0	0	0
TCGA-06-1801	5.292	0.9294	0	23.66	0.2899	4.317	0	0	0	0	0.8607	0.1905	0	2.781	0	1.095	20.62
TCGA-06-1802	5.24	26.94	0	0	1.592	1.227	3.318	0	1.074	0	0.1927	0.5806	0.155	0	5.126	0	0
TCGA-06-1804	4.894	38.94	7.005	0	2.007	0	6.419	0	1.231	0	0	0.9274	0	19.6	0	0	0
TCGA-06-2558	3.662	19.48	26.28	0	14.78	0	31.56	0	8.832	0	5.854	0	0	6.852	0	0	0
TCGA-06-2559	5.45	3.028	0	0	1.295	0	5.92	0	17.45	5.273	3.047	0	0	0	0	0	0
TCGA-06-2561	5.05	24.12	5.271	0	0	0.6752	0.907	0	0	3.28	0	0.1372	0	1.812	3.947	0	0
TCGA-06-2562	5.41	12.6	0	0	0.5268	0.7925	2.281	0	0	0	0.7199	0.1655	0	0	0	0	4.704
TCGA-06-2563	4.978	17.34	8.373	0	0.6715	0	0	0	0	0	0	0.3625	1.722	0	0	0	0
TCGA-06-2564	5.428	9.534	0	0.8616	4.366	0	2.734	0	7.496	0	2.597	1.7	11.45	1.209	0	0	0
TCGA-06-2565	4.865	22.92	5.767	0	2.134	0	4.893	0	0	0	1.932	0	0.9423	0	11.11	0	0
TCGA-06-2566	5.133	1.644	5.332	37.92	1.753	5.024	0	0	0	0	0	0.1735	0	3.084	0	0	0
TCGA-06-2567	5.458	6.429	0	1.242	1.152	0.6227	4.906	0	2.438	0	0.5543	0	0	0	0	0	0
TCGA-06-2569	4.124	0	23.94	36.87	4.981	5.022	4.889	13.66	1.144	5.541	0	0	0	0	0	0	3.263
TCGA-06-2570	5.112	16.81	5.002	0	0	0	0	0	0	0	0	0	0.8752	0	3.712	0	0
TCGA-06-5408	5.36	15.6	0	0	2.408	0	1.277	0	1.202	0	0	0.1138	1.323	14.69	0	0	2.556
TCGA-06-5411	5.506	3.705	0	0	0.782	0.9973	3.059	0	1.807	0	0.5348	0	3.757	3.64	0	0	0
TCGA-06-5413	5.236	34	0	0	1.929	1.152	6.36	0	1.85	0	1.241	0.141	1.184	0	0	0	0
TCGA-06-5414	5.179	0	4.618	22.85	0	6.34	3.92	0	0	0	0	0	1.38	0	0	0	11.28
TCGA-06-5415	4.247	27.92	17.46	0	2.266	0	8.147	0	0	4.366	0	0	2.785	0	8.834	0	0
TCGA-06-5416	5.206	16.8	0	10.69	1.193	3.427	4.408	0	0	0	0	0.2925	0	3.332	11.6	0	2.762
TCGA-06-5418	5.283	15.64	1.679	0	1.727	0	5.027	0	1.415	0	0.2195	0.6257	0	3.108	0	0	3.777
TCGA-06-5856	3.529	20.49	25.76	8.653	21.38	4.02	20.11	43.05	12.38	8.396	9.218	0	30.71	0	0	0	0
TCGA-06-5859	4.396	0	16.82	2.486	2.294	5.497	0	49.94	0	11.65	0	0	0	0	0	15.05	0
TCGA-06-6388	5.417	16.27	0	0.8927	0	0.3388	0	0	0	0	0	0.08316	0	0	0	0.3368	0
TCGA-06-6389	3.91	25.09	28.4	21.08	0	4.613	4.063	0	0	0	0	0	0	0	2.976	0	0
TCGA-06-6693	4.241	24.93	16.94	0	5.447	0	13.64	0	4.095	0	3.658	0	6.658	17.07	8.699	0	0
TCGA-06-6694	5.07	10.43	4.387	1.747	0.2511	5.692	8.669	3.534	3.07	2.025	0	0	0	0	0	0	22.8
TCGA-06-6695	5.112	11.3	4.539	0	4.522	0	5.79	0	10.99	0.9438	6.346	0	22.26	1.138	0	0	0
TCGA-06-6698	5.431	0	0	1.414	0	0	4.127	0	0	0	0	0	0	15.84	4.61	0	3.845
TCGA-06-6699	3.912	30.07	25.85	0	0	0	6.605	0	0	1.209	3.828	0	3.858	0	0	0	0
TCGA-06-6700	5.209	21.7	0	0	2.648	0	0	0	0	0	0	0	1.797	0	9.644	0	0
TCGA-06-6701	5.392	11.92	0	0	0	0	0	0	0	0	0	0.3423	0	0	2.048	0	0
TCGA-06-A5U0	5.337	0	3.348	22.65	0	6.598	1.953	0.6372	0	0	0	0	0	1.316	0	0	0
TCGA-06-A5U1	4.626	46.91	10.63	1.652	0	0.5933	2.971	0	0	0	3.526	0	0	0	0	0	0
TCGA-06-A6S0	5.272	2.629	0	40.83	6.144	6.489	2.316	10.56	0	0	4.035	0.1973	11.76	0	0	0	0
TCGA-06-A6S1	5.378	13.04	0	25.35	3.064	4.082	0	0	0	5.913	0	0	5.212	6.141	0	0	0
TCGA-06-A7TK	5.442	8.755	0	1.306	1.97	0	0.8049	0	0	0.7889	0.5163	0	6.979	5.443	0	0	0
