"signature"	"gene"	"rho"	"p.value"	"q.value"
"CX16"	"TRIM25"	"0.0125631765354323"	"0.366264220278851"	0.489543396860513
"CX16"	"GTF2H3"	"-0.0123173314028361"	"0.37571905519089"	0.497328604455574
"CX16"	"INO80E"	"0.0123610721649526"	"0.374025921133438"	0.497328604455574
"CX16"	"ATRIP"	"-0.0122094451818052"	"0.37991534111306"	0.500465401273935
"CX16"	"COPS6"	"0.0119562004645781"	"0.389877976979274"	0.506287041195835
"CX16"	"PNKP"	"-0.0120317164706838"	"0.386890692739579"	0.506287041195835
"CX16"	"POLR2F"	"0.0119743279439476"	"0.389159608930241"	0.506287041195835
"CX16"	"PIAS1"	"-0.0117704310199556"	"0.397286141665414"	0.512734885037838
"CX16"	"UBA52"	"0.0117653852195723"	"0.398585877784889"	0.512734885037838
"CX16"	"WRN"	"-0.0114963186872333"	"0.408370997319287"	0.52286753862376
"CX16"	"TDG"	"0.0112769583037347"	"0.417372969233507"	0.531907877069679
"CX16"	"ELL"	"0.0108219830983736"	"0.437478845045484"	0.552442319299716
"CX16"	"TFPT"	"0.0107959171487972"	"0.437518187182622"	0.552442319299716
"CX16"	"BABAM2"	"-0.0106913930036837"	"0.441968328253115"	0.5555014767952
"CX16"	"BAZ1B"	"0.0102251202744593"	"0.462132605386886"	0.578193305369894
"CX16"	"DDB1"	"0.00958592564714737"	"0.49059053810686"	0.61100821564218
"CX16"	"RFC1"	"0.0093078878951651"	"0.503256955280445"	0.623947537316027
"CX16"	"XAB2"	"-0.00906979891540318"	"0.514239165403371"	0.634691582524881
"CX16"	"CUL4B"	"0.00925111110946776"	"0.517869653989492"	0.636306211628344
"CX16"	"EYA4"	"0.00869902999703913"	"0.531586250406978"	0.650243895587107
"CX16"	"ATR"	"-0.00853527118542501"	"0.539341317813276"	0.656005035464556
"CX16"	"PIAS3"	"0.00902827392054585"	"0.541084445310181"	0.656005035464556
"CX16"	"MNAT1"	"-0.00839413122128718"	"0.54607038715559"	0.659133418857408
"CX16"	"RNF4"	"0.00823889423272728"	"0.553519283333263"	0.665194226461904
"CX16"	"RBBP8"	"-0.00789660210057095"	"0.570117592067794"	0.682149433303823
"CX16"	"ERCC2"	"0.0074074157737847"	"0.594242753626481"	0.70182118316231
"CX16"	"ISY1"	"0.00764409021560649"	"0.590984655161439"	0.70182118316231
"CX16"	"USP10"	"-0.00745507115464276"	"0.591872134342526"	0.70182118316231
"CX16"	"POLB"	"0.00734107651141847"	"0.597550009446976"	0.702698294371122
"CX16"	"PALB2"	"0.007284908324318"	"0.600356720376616"	0.702981800782875
"CX16"	"BAP1"	"-0.00713367086761095"	"0.60794347602607"	0.706240136989634
"CX16"	"RTEL1"	"0.00712669542771568"	"0.608294424560415"	0.706240136989634
"CX16"	"TINF2"	"-0.00688823937880996"	"0.620345450135864"	0.717192630114881
"CX16"	"SUMO3"	"0.00672862936859614"	"0.628469361647407"	0.721719627325308
"CX16"	"USP7"	"0.00670787313881056"	"0.629529163980834"	0.721719627325308
"CX16"	"COPS8"	"-0.00665629363344191"	"0.632166087563301"	0.721722949968102
"CX16"	"APEX1"	"0.00642216594861934"	"0.644193987206356"	0.726375113146261
"CX16"	"UBE2N"	"-0.00642620512032759"	"0.643985678371585"	0.726375113146261
"CX16"	"XRCC5"	"-0.00643336143384003"	"0.643616680426186"	0.726375113146261
"CX16"	"XRCC6"	"-0.00623748786923627"	"0.653747856711451"	0.734126691553023
"CX16"	"UBE2I"	"-0.00594121655267379"	"0.669193371237602"	0.748404015180012
"CX16"	"ACTR8"	"0.00569479956720044"	"0.68214763605677"	0.759040011526238
"CX16"	"CUL4A"	"-0.00555036809231309"	"0.689784536022019"	0.759040011526238
"CX16"	"ERCC1"	"-0.00557157490871915"	"0.688661209763274"	0.759040011526238
"CX16"	"SMUG1"	"0.00556061686315785"	"0.689241572536529"	0.759040011526238
"CX16"	"MBD4"	"0.00545746153158787"	"0.694713832640154"	0.761406360573609
"CX16"	"INO80C"	"0.00499364061681156"	"0.719512332202395"	0.78100162574321
"CX16"	"PMS2"	"0.00499076452642624"	"0.719667061194561"	0.78100162574321
"CX16"	"RAD52"	"0.00496332505216259"	"0.721143836908876"	0.78100162574321
"CX16"	"PAXIP1"	"0.0044254849306916"	"0.750293726426032"	0.80937197260131
"CX16"	"CCNA1"	"-0.00417802050513207"	"0.763829434582535"	0.820742215982802
"CX16"	"APBB1"	"-0.00351495308429811"	"0.800444327275062"	0.85672556903659
"CX16"	"COPS7B"	"-0.00319548460269882"	"0.818248796931126"	0.869332021692768
